on x=-30..22,y=-28..20,z=-17..37
on x=-20..34,y=-30..17,z=-30..21
on x=-7..42,y=-23..26,z=-18..29
on x=-8..44,y=-34..20,z=-14..32
on x=-13..32,y=-47..6,z=-38..6
on x=-48..6,y=-36..14,z=-18..33
on x=-31..13,y=-22..32,z=-44..9
on x=-18..31,y=-48..-2,z=-18..28
on x=-9..38,y=-15..35,z=-48..6
on x=-14..35,y=-42..6,z=-9..43
off x=25..40,y=-21..-12,z=3..18
on x=-32..12,y=-28..18,z=-12..40
off x=-12..1,y=27..38,z=5..18
on x=-34..14,y=-38..13,z=-29..23
off x=9..28,y=-35..-26,z=7..16
on x=-18..27,y=-21..27,z=-42..7
off x=18..32,y=26..42,z=-8..10
on x=-15..34,y=-30..17,z=-19..33
off x=12..23,y=32..45,z=26..41
on x=-36..13,y=-33..13,z=-27..17
on x=-8328..22599,y=-70363..-44520,z=-57360..-36940
on x=-50196..-37889,y=6222..14062,z=54380..68097
on x=35844..58825,y=52930..71242,z=-8830..13824
on x=41627..78060,y=-46407..-28250,z=-50040..-28694
on x=-10904..23566,y=-58001..-29975,z=49698..75447
on x=49105..55330,y=-5792..5789,z=55892..75259
on x=17301..41990,y=52793..60556,z=-64197..-51472
on x=30870..51358,y=5713..28228,z=52157..66476
on x=1916..32291,y=-11724..7813,z=-83257..-63701
on x=-84658..-71047,y=3894..22190,z=11351..30230
on x=-20382..11597,y=-99840..-70223,z=-1376..2963
on x=58098..69942,y=-41692..-10343,z=-40712..-25490
on x=-58188..-21578,y=-74267..-58594,z=-53135..-23174
on x=40546..71149,y=49868..72082,z=-28887..-10703
on x=-67703..-37825,y=-56762..-49612,z=-39737..-17807
on x=2818..19089,y=-51807..-26874,z=53090..85318
on x=-57779..-41796,y=-42933..-14685,z=-62618..-57809
on x=-1239..25753,y=-11626..10137,z=75868..80520
on x=-66878..-29793,y=43933..46357,z=26935..46161
on x=-61883..-40810,y=19818..38883,z=39372..66161
on x=31062..44250,y=-33651..-8036,z=-70400..-64418
